Date,AAPL,ABB,ADBE,AEP,AMGN,AMZN,BA,BBD,BP,BTI,C,CAT,CB,CELG,CODI,COST,CRH,CVS,D,E,EIX,EOG,ETN,FDX,GOOGL,GSK,HMC,HON,HRG,IEP,INTC,JNJ,JPM,MDLZ,MS,MSFT,NEE,NFLX,NVDA,NVS,OKE,OXY,PICO,REX,RIO,SAP,SCHW,SU,TM,TSM,UN,WBA,WEC,WMT
2008-01-22,608688500,13295700,10188900,6177600,16253100,12822200,8503300,24790400,11668400,489600,21079600,9870200,4445700,14373600,180600,9818400,121000,17581800,5467500,1439000,4185900,7500200,5814000,4534700,18983900,3513700,908800,8948200,17900,93500,146951600,29488900,57178600,12921700,36857100,108521400,5374700,14127400,17727300,3668300,1872200,12058800,160200,77300,4839600,6104200,15313000,12877000,1348300,20373700,3722300,13406300,2619200,45128500
2008-01-23,843242400,8007200,10292400,6359500,18863800,20405700,13028100,23876100,11877700,720800,18963400,10896500,5861900,13191200,168600,10043800,113800,19413400,4595300,1556600,4692000,8238800,6850600,7978800,33897400,4009800,1379400,8895300,3800,65900,173781800,22843600,77137000,13656400,27599200,137597400,5963200,29370600,23247000,3416600,2977400,13279600,156200,86600,2138400,9467800,17288300,12294200,1388700,25966600,6916900,14346900,3526000,50422200
2008-01-24,501466700,6325500,7290400,5939600,17014500,9886600,7449300,15850400,5103700,759400,13578500,8160300,3083000,12704000,112400,6217400,112600,23671600,3787700,648800,2781700,6353200,5314400,4091800,18782900,5117200,641600,6246600,31200,49800,90383900,18084400,52062600,16373200,16341300,155640400,3679600,38927000,14927300,2671400,1673300,10623100,126600,54700,2029600,3503800,12688500,11361200,570200,17356600,2238400,9071400,4881400,35716500
2008-01-25,388684800,8493400,9220200,4164000,24854500,10027600,7849500,12540700,4632600,421800,11031600,9286700,4811600,9900000,141100,5562900,91900,15649600,4520100,950500,3146300,5707400,5699200,5212300,13918000,2294700,643700,8646000,2500,25900,104701200,23938400,38410900,11766100,19071500,196992300,3780400,19865300,17200300,2350500,1462700,9263900,86600,57100,1740000,1799500,16428900,7318200,688700,19866200,2933000,7861600,2828800,24975700
2008-01-28,368711000,4507600,5746400,3337800,15075600,8505300,4864300,13658900,3896100,310600,8367200,10984100,3023700,9086400,116000,5407900,128900,17317600,3515500,447200,3100200,4067800,3430200,3518200,11621700,2737800,443500,5965600,1000,19800,68633200,10182000,29739100,10489500,12982300,81019000,3899300,11650100,14440200,1955800,1468100,9795100,110200,69600,1628400,1416700,16113700,5640000,629400,11690400,1695100,7115700,2182600,23440900
2008-01-29,274995700,5077300,5445400,3629800,9554200,9958000,9025500,27713000,4199600,257800,8165400,8283600,3169600,7447800,68300,5705200,87600,17084800,2558800,3058500,1648800,3731400,2076600,3317900,12553400,1009900,408300,5790300,11600,16700,78365800,10074000,56112700,10241200,12291100,68023000,2605700,7082600,10362100,1852000,1076400,10905600,116500,30800,2292000,3840800,12867700,3844400,462500,11860700,1348800,6074700,1408600,21741500
2008-01-30,310762900,10431200,8767300,3512400,9047700,25298700,11331100,25498000,4346800,405000,13495700,7904500,2564200,10036000,213600,5766000,108000,13229300,4381000,1204200,2396500,5721000,3552200,4069700,15863300,1470100,951300,5137000,2400,26400,96055500,13653300,68343800,12324700,16018700,106432600,2518500,9307200,13261900,2119100,1071600,8048400,153700,57800,1814000,3774400,17599500,7374200,637700,18682200,1559500,5850400,1205000,24486700
2008-01-31,336418600,6532400,16394600,3967900,14666800,42885900,7887700,18931200,6040700,663000,13862000,8826800,3584000,12790200,269900,7975200,157400,33397300,4521200,1998000,2151300,5017000,4833200,2965000,29712800,2884500,992200,6138300,3900,17400,100753400,21274200,55500600,13010500,22824300,103642200,3262200,23223900,14717700,1538400,2388300,8074900,151700,52800,1833200,2535300,16837700,5835000,1733400,22262400,2553400,9901500,1505400,46217900
2008-02-01,252686000,4290000,12343100,3354500,10087900,16361000,6685900,20679200,5761400,367600,12037600,6526400,2354700,14783000,131400,6057300,175000,18630200,2781200,1532300,2124900,5501800,3446000,2749200,35165700,2007400,516900,7046600,600,15600,66087600,11780400,48834500,11918400,26818300,291138900,2361800,12623100,14827600,1726600,1411900,8779200,77400,70600,3701600,2230900,13537300,5780800,489800,23160200,2020700,8139800,1391800,25745800
2008-02-04,224808500,4928800,7861500,6210600,6929700,9155200,3106300,6992000,3750800,217000,8475900,4565300,1935400,13134800,119900,4288100,197200,10238100,2056100,697400,2087400,3821000,3153600,1932500,26287800,1498400,545800,4644100,1500,24500,65724200,7976200,28310200,7698300,10749700,119998600,1754000,11883900,14128200,2943000,1359200,5972600,120000,51700,1495600,1703200,11512800,3424400,396000,12035200,1300700,6272700,1173000,20321300
2008-02-05,285260500,6893300,7366800,3719700,9218100,9633900,4691600,13745600,6279800,358200,10920200,11709400,2446700,9237200,139000,6934300,254300,14265000,3018100,903200,2221300,5634600,2806000,3149000,22384100,2413600,871800,5900500,900,56700,85581600,11320400,39045100,10549300,13172400,137534100,2469000,8945300,12373200,2360300,1544000,6078300,85400,34700,2101600,3232400,17046000,5966200,729400,20530200,2932100,6487700,2250800,28403700
2008-02-06,393318100,6142300,13228200,3632800,7858800,12399500,5331700,15460900,7252800,410600,7369500,7305000,3388800,13510200,112800,7394000,176400,12661600,2752800,837500,2192600,6161800,4544000,1952600,15257500,2986700,1068800,4213400,3100,47600,73305800,9556900,27274800,7509600,12474000,138315600,2497700,15107400,13934500,1526800,1273000,7300100,89000,62400,3096000,3204300,12506500,4252400,1096400,11811300,2971100,6232100,2248600,28492300
2008-02-07,520832900,6121800,13594100,2943500,9152900,14501700,6779000,15692600,5081600,519400,10720300,6506000,3217100,11684200,78000,8453100,138200,10939200,3224000,833100,2090900,7087000,3114200,2505200,15841900,9161500,564000,4563000,9200,38400,76942200,13693300,36818000,9284200,17074600,164964900,2090000,16767100,16603200,2262000,1695200,9005700,86300,104000,2094400,3061400,12426200,4836600,1123000,17001900,2595600,7342600,1817000,36286200
2008-02-08,338993200,5782400,9771200,2836500,12304500,11700400,4343300,10920300,4481700,243200,8185800,4496000,2990200,6822200,138600,7423400,106800,15902300,1838900,781100,1955600,8510400,2732400,2450900,13644100,5537100,425300,3811600,4800,28900,54170800,13338800,26058300,9163600,17177100,124872000,1343000,10850700,9848300,1456400,932900,5674100,55300,97300,1621600,2046100,15261700,5085000,407100,9359200,1303500,7497300,1324000,22542300
